latitud,longitud,farm_id,objeto,calle,altura,direc_norm,direc_arcg,telefono,obs_telefono,barrio,comuna
-584.487.034.118.841,-345.816.268.390.841,49,FARMACIA,AV ALVAREZ THOMAS,302,ALVAREZ THOMAS AV. 302,302 ALVAREZ THOMAS AV.,4553-2124,,CHACARITA,15
-584.589.657.615.226,-345.785.529.885.103,115,FARMACIA,ALVAREZ THOMAS,1238,ALVAREZ THOMAS AV. 1238,1238 ALVAREZ THOMAS AV.,4554-0134,,CHACARITA,15
-584.469.789.804.384,-3.459.200.946.854,171,FARMACIA,AV CORRIENTES,6151,CORRIENTES AV. 6151,6151 CORRIENTES AV.,4854-6014,,CHACARITA,15
-584.547.941.191.833,-345.794.452.987.762,334,FARMACIA,AV ALVAREZ THOMAS,900,ALVAREZ THOMAS AV. 900,900 ALVAREZ THOMAS AV.,4551-2290,,CHACARITA,15
-584.548.710.083.212,-345.862.109.446.879,721,FARMACIA,AV FEDERICO LACROZE,4125,"LACROZE, FEDERICO AV. 4125","4125 LACROZE, FEDERICO AV.",4553-8400,,CHACARITA,15
-584.534.085.818.758,-345.847.005.644.895,760,FARMACIA,AV FEDERICO LACROZE,3938,"LACROZE, FEDERICO AV. 3938","3938 LACROZE, FEDERICO AV.",4553-1934,,CHACARITA,15
-584.530.597.338.971,-345.834.119.104.573,1001,FARMACIA,AV FEDERICO LACROZE,3801,"LACROZE, FEDERICO AV. 3801","3801 LACROZE, FEDERICO AV.",,,CHACARITA,15
-584.482.704.616.498,-345.816.985.780.007,1025,FARMACIA,AV ALVAREZ THOMAS,284,ALVAREZ THOMAS AV. 284,284 ALVAREZ THOMAS AV.,,,CHACARITA,15
-584.471.877.939.086,-345.827.582.351.691,1101,FARMACIA,SANTOS DUMONT,3448,"DUMONT, SANTOS 3448","3448 DUMONT, SANTOS",4555-0082,,CHACARITA,15
-584.552.818.727.515,-345.866.663.569.398,1126,FARMACIA,AV FEDERICO LACROZE,4181,"LACROZE, FEDERICO AV. 4181","4181 LACROZE, FEDERICO AV.",4554-5600,,CHACARITA,15
-584.471.310.708.323,-345.918.685.238.001,1218,FARMACIA,AV CORRIENTES,6169,CORRIENTES AV. 6169,6169 CORRIENTES AV.,4514-9271,,CHACARITA,15
-584.544.195.666.636,-345.870.523.669.182,1236,FARMACIA,AV CORRIENTES,6847,CORRIENTES AV. 6847,6847 CORRIENTES AV.,4554-0153,,CHACARITA,15
-584.534.419.265.837,-345.840.051.001.501,1337,FARMACIA,AV FEDERICO LACROZE,3883,"LACROZE, FEDERICO AV. 3883","3883 LACROZE, FEDERICO AV.",4552-5221,,CHACARITA,15
-584.467.275.966.215,-345.903.511.840.161,1376,FARMACIA,AV DORREGO,940,DORREGO AV. 940,940 DORREGO AV.,,,CHACARITA,15
-584.597.051.166.608,-346.024.926.250.675,169,FARMACIA,ESPINOSA,2005,ESPINOSA 2005,2005 ESPINOSA,4584-8226,,PATERNAL,15
-584.667.085.598.048,-34.599.714.042.609,279,FARMACIA,TRELLES,2502,"TRELLES, MANUEL R. AV. 2502","2502 TRELLES, MANUEL R. AV.",4581-0384,,PATERNAL,15
